objectid       , title                                                                          , creator, date      , header                                                          , description, subject, location                                    , latitude , longitude , source, internet_archive_link, identifier, type, format, language, rights, rightsstatement, display_template, object_location                                                                                    , image_small                                                                                                  , image_thumb                                                                                                  , image_alt_text, object_transcript
fil-08-04-1910 , "Filipinas, 08 de abril de 1910"                                               ,        , 08-04-1910, "Filipinas"                                                     ,            ,        , "Manila, Filipinas"                         , 14.599512, 120.984222,       ,                      ,           ,     ,       , es      ,       ,                , pdf             , "objects/newspapers/Filipinas/08-04-1910/Filipinas_08-04-1910.json"                                , "objects/newspapers/Filipinas/08-04-1910/images/Filipinas_08-04-1910_P01.jpg"                                , "objects/newspapers/Filipinas/08-04-1910/images/Filipinas_08-04-1910_P01.jpg"                                ,               , 
fil-15-04-1910 , "Filipinas, 15 de abril de 1910"                                               ,        , 15-04-1910, "Filipinas"                                                     ,            ,        , "Manila, Filipinas"                         , 14.599512, 120.984222,       ,                      ,           ,     ,       , es      ,       ,                , pdf             , "objects/newspapers/Filipinas/15-04-1910/Filipinas_15-04-1910.json"                                , "objects/newspapers/Filipinas/15-04-1910/images/Filipinas_15-04-1910_P01.jpg"                                , "objects/newspapers/Filipinas/15-04-1910/images/Filipinas_15-04-1910_P01.jpg"                                ,               , 
lm-10-12-1898  , "La Malasia, 10 de diciembre de 1898"                                          ,        , 10-12-1898, "La Malasia"                                                    ,            ,        , "Manila, Filipinas"                         , 14.599512, 120.984222,       ,                      ,           ,     ,       , es      ,       ,                , pdf             , "objects/newspapers/La_Malasia/10-12-1898/La_Malasia_10-12-1898.json"                              , "objects/newspapers/La_Malasia/10-12-1898/images/La_Malasia_10-12-1898_P01.jpg"                              , "objects/newspapers/La_Malasia/10-12-1898/images/La_Malasia_10-12-1898_P01.jpg"                              ,               , 
exc-1932       , "Excelsior, 1932"                                                              ,        , 1932      , "Excelsior"                                                     ,            ,        , "Manila, Filipinas"                         , 14.599512, 120.984222,       ,                      ,           ,     ,       , es      ,       ,                , pdf             , "objects/newspapers/Excelsior/1932/Excelsior_1932.json"                                            , "objects/newspapers/Excelsior/1932/images/Excelsior_1932_P01.jpg"                                            , "objects/newspapers/Excelsior/1932/images/Excelsior_1932_P01.jpg"                                            ,               , 
hdlm-17-07-1919, "Heraldo de la Mujer, 17 de julio de 1919"                                     ,        , 17-07-1919, "Heraldo de la Mujer",                                                       ,        , "Humacao y San Juan, Puerto Rico"           , 18.14968 , -65.82738 ,       ,                      ,           ,     ,       , es      ,       ,                , pdf             , "objects/newspapers/Heraldo_De_La_Mujer/17-07-1919/Heraldo_De_La_Mujer_17-07-1919.json"            , "objects/newspapers/Heraldo_De_La_Mujer/17-07-1919/images/Heraldo_De_La_Mujer_17-07-1919_P01.jpg"            , "objects/newspapers/Heraldo_De_La_Mujer/17-07-1919/images/Heraldo_De_La_Mujer_17-07-1919_P01.jpg"            ,               , 
hdlm-08-1919   , "Heraldo de la Mujer, octubre de 1919"                                         ,        , 08-1919   , "Heraldo de la Mujer"                                           ,            ,        , "Humacao y San Juan, Puerto Rico"           , 18.14968 , -65.82738 ,       ,                      ,           ,     ,       , es      ,       ,                , pdf             , "objects/newspapers/Heraldo_De_La_Mujer/08-1919/Heraldo_De_La_Mujer_08-1919.json"                  , "objects/newspapers/Heraldo_De_La_Mujer/08-1919/images/Heraldo_De_La_Mujer_08-1919_P01.jpg"                  , "objects/newspapers/Heraldo_De_La_Mujer/08-1919/images/Heraldo_De_La_Mujer_08-1919_P01.jpg"                  ,               , 
hdlm-09-1919   , "Heraldo de la Mujer, septiembre de 1919"                                      ,        , 09-1919   , "Heraldo de la Mujer"                                           ,            ,        , "Humacao y San Juan, Puerto Rico"           , 18.14968 , -65.82738 ,       ,                      ,           ,     ,       , es      ,       ,                , pdf             , "objects/newspapers/Heraldo_De_La_Mujer/09-1919/Heraldo_De_La_Mujer_09-1919.json"                  , "objects/newspapers/Heraldo_De_La_Mujer/09-1919/images/Heraldo_De_La_Mujer_09-1919_P05.jpg"                  , "objects/newspapers/Heraldo_De_La_Mujer/09-1919/images/Heraldo_De_La_Mujer_09-1919_P05.jpg"                  ,               , 
hdlm-10-1919   , "Heraldo de la Mujer, octubre de 1919"                                         ,        , 10-1919   , "Heraldo de la Mujer"                                           ,            ,        , "Humacao y San Juan, Puerto Rico"           , 18.14968 , -65.82738 ,       ,                      ,           ,     ,       , es      ,       ,                , pdf             , "objects/newspapers/Heraldo_De_La_Mujer/10-1919/Heraldo_De_La_Mujer_10-1919.json"                  , "objects/newspapers/Heraldo_De_La_Mujer/10-1919/images/Heraldo_De_La_Mujer_10-1919_P01.jpg"                  , "objects/newspapers/Heraldo_De_La_Mujer/10-1919/images/Heraldo_De_La_Mujer_10-1919_P01.jpg"                  ,               , 
hdlm-12-1919   , "Heraldo de la Mujer, diciembre de 1919"                                       ,        , 12-1919   , "Heraldo de la Mujer"                                           ,            ,        , "Humacao y San Juan, Puerto Rico"           , 18.14968 , -65.82738 ,       ,                      ,           ,     ,       , es      ,       ,                , pdf             , "objects/newspapers/Heraldo_De_La_Mujer/12-1919/Heraldo_De_La_Mujer_12-1919.json"                  , "objects/newspapers/Heraldo_De_La_Mujer/12-1919/images/Heraldo_De_La_Mujer_12-1919_P16.jpg"                  , "objects/newspapers/Heraldo_De_La_Mujer/12-1919/images/Heraldo_De_La_Mujer_12-1919_P16.jpg"                  ,               , 
hdlm-03-1920   , "Heraldo de la Mujer, marzo de 1920"                                           ,        , 03-1920   , "Heraldo de la Mujer"                                           ,            ,        , "Humacao y San Juan, Puerto Rico"           , 18.14968 , -65.82738 ,       ,                      ,           ,     ,       , es      ,       ,                , pdf             , "objects/newspapers/Heraldo_De_La_Mujer/03-1920/Heraldo_De_La_Mujer_03-1920.json"                  , "objects/newspapers/Heraldo_De_La_Mujer/03-1920/images/Heraldo_De_La_Mujer_03-1920_P16.jpg"                  , "objects/newspapers/Heraldo_De_La_Mujer/03-1920/images/Heraldo_De_La_Mujer_03-1920_P16.jpg"                  ,               , 
hdlm-07-1920   , "Heraldo de la Mujer, julio de 1920"                                           ,        , 07-1920   , "Heraldo de la Mujer"                                           ,            ,        , "Humacao y San Juan, Puerto Rico"           , 18.14968 , -65.82738 ,       ,                      ,           ,     ,       , es      ,       ,                , pdf             , "objects/newspapers/Heraldo_De_La_Mujer/07-1920/Heraldo_De_La_Mujer_07-1920.json"                  , "objects/newspapers/Heraldo_De_La_Mujer/07-1920/images/Heraldo_De_La_Mujer_07-1920_P01.jpg"                  , "objects/newspapers/Heraldo_De_La_Mujer/07-1920/images/Heraldo_De_La_Mujer_07-1920_P01.jpg"                  ,               , 
